"`project_id`","`max_followers`"
"19594347","9"
"19600642","1"
"19612571","173"
"19630614","3"
"19641501","4"
"19644716","22"
"19696936","4"
"19710500","86"
"19717550","254"
"19755185","9"
"19755702","2"
"19761685","114"
"19823479","1"
"19943063","3"
"20029138","2"
"20104020","3"
"20163538","682"
"20226295","5"
"20285835","14"
"20349010","1"
"20378057","1"
"20425918","48"
"20434473","1"
"20435182","116"
"20450716","110"
"20450796","312"
"20465270","30"
"20508542","1"
"20660971","3"
"20752407","905"
"20754312","1"
"20835622","6"
"20873386","44"
"20925694","11"
"20935792","15"
"20955762","4"
"21034797","1"
"21037532","5"
"21044484","24"
"21065369","8"
"21125630","3184"
"21174695","21"
"21187110","1309"
"21216818","37"
"21312489","23"
"21448026","1"
"21584862","3"
"21603107","35"
"21618029","54"
"21640858","111"
"21681863","1"
"21719074","12"
"21784371","7"
"21864762","105"
"21908633","52"
"21921763","15"
"21924858","23"
"21963930","13"
"21974766","1119"
"22045114","91"
"22046894","84"
"22047350","641"
"22052042","33"
"22053634","1"
"22056630","17"
"22076833","1"
"22084327","948"
"22095887","15"
"22105376","29"
"22116372","3"
"22123631","267"
"22141768","54"
"22167327","3"
"22187814","27"
"22208853","39"
"22211488","2"
"22236354","24"
"22278515","1"
"22822302","1"
"22833631","54"
"23114966","18"
"23115673","2"
"23249012","23"
"23428045","66"
"23458675","4"
"23465223","9"
"23600597","4"
"23620520","40"
"23775197","207"
"23918553","1"
"23924596","16"
"24177440","18"
"24265177","1"
"24283325","6"
"24491126","7"
"24495953","163"
"24498221","4"
"24540619","73"
"24729237","77"
"24899862","1"
"24900752","1"
"24908811","39"
"24919055","101"
"25037257","5182"
"25037627","102"
"25040693","1"
"25045443","2629"
"25051824","281"
"25256022","3"
"25395643","15"
"25650073","2"
"25672260","3"
"25830758","25"
"25858715","4"
"25944077","5"
"25954906","8"
"26091726","1"
"26108120","238"
"26112145","1"
"26119533","1"
"26341053","2"
"26550795","3"
"26588971","54"
"26674333","1"
"26783304","3"
"26873823","1"
"26936537","51"
"26961388","4"
"26965543","6"
"27051487","3"
"27306008","12"
"27326987","35"
"27345935","3"
"27375757","629"
"27428481","30"
"27434109","7"
"27469596","7"
"27496559","10"
"27501293","1"
"27623476","833"
"27633284","12"
"27671937","5"
"27747720","1"
"27777181","163"
"27955513","370"
"27977354","25"
"27980298","9"
"28033868","35"
"28117425","1091"
"28119927","1"
"28153902","80"
"28178404","24"
"28317607","3"
"28357332","4"
"28401052","252"
"28459924","94"
"28486256","3"
"28510906","6"
"28625357","27"
"28690670","49"
"28717286","2"
"28923864","12"
"28947710","21"
"28952769","3"
"29116788","2"
